ID,Ean,Title,Category,Vendor,Price,Rating,Created At
48,4516685534489,Gorgeous Concrete Chair,Gizmo,Kiehn-Pacocha,R$ 82.14,"3,3","fevereiro 20, 2018, 9:54 PM"
49,4284914664558,Incredible Silk Shoes,Gadget,Schuster-Wyman,R$ 87.62,"3,8","junho 2, 2017, 8:08 AM"
50,272643267465,Durable Wool Toucan,Widget,"Hartmann, Mohr and Stiedemann",R$ 35.76,"4,1","junho 19, 2018, 10:53 PM"
51,4406572671024,Awesome Granite Car,Gizmo,Keshaun Mueller Group,R$ 50.43,"3,7","julho 7, 2016, 4:23 PM"
52,2091630691049,Ergonomic Marble Hat,Widget,Koch-Ruecker,R$ 69.12,"4,4","maio 22, 2017, 7:39 AM"
53,8825217022124,Mediocre Cotton Toucan,Doohickey,Jacobson-Daniel,R$ 29.52,"4,4","novembro 4, 2016, 12:33 AM"
54,1943523619306,Intelligent Bronze Knife,Widget,McClure-Murphy,R$ 41.40,"3,6","novembro 22, 2016, 9:23 AM"
55,6575325360237,Mediocre Rubber Shoes,Gadget,"Considine, Lehner and Maggio",R$ 63.85,,"setembro 5, 2016, 11:51 PM"
56,8296484749050,Awesome Silk Car,Doohickey,Hackett-Reynolds,R$ 24.25,"4,1","junho 28, 2017, 1:30 PM"
57,3769015137275,Gorgeous Bronze Hat,Gizmo,"Kuphal, Schowalter and Bogan",R$ 81.61,"3,8","março 1, 2018, 2:39 AM"
58,5010710584900,Practical Steel Table,Gadget,"Smitham, Dach and Bode",R$ 52.10,"4,3","dezembro 11, 2017, 5:22 AM"
59,8469939413398,Sleek Aluminum Watch,Gizmo,"Donnelly, Renner and Barton",R$ 59.47,"3,6","julho 14, 2018, 1:14 PM"
60,4819782507258,Rustic Paper Car,Doohickey,Stroman-Carroll,R$ 19.87,"4,1","dezembro 16, 2017, 11:14 AM"
61,1726123595351,Mediocre Paper Car,Gizmo,Jordi Effertz LLC,R$ 15.69,4,"janeiro 24, 2017, 3:11 AM"
62,1087115303928,Awesome Iron Hat,Widget,Von-Gulgowski,R$ 89.01,4,"dezembro 6, 2018, 1:15 AM"
63,9786855487647,Enormous Granite Wallet,Gizmo,"Hills, Fahey and Jones",R$ 89.01,"3,8","agosto 28, 2018, 7:45 AM"
64,1960588072419,Incredible Aluminum Knife,Gadget,Noah Anderson and Sons,R$ 95.61,"3,7","fevereiro 21, 2017, 11:15 AM"
65,6409491343148,Ergonomic Silk Table,Widget,Weimann-Cummings,R$ 45.49,"3,7","outubro 1, 2018, 2:56 PM"
66,7813908779724,Fantastic Silk Bottle,Widget,Goyette-Smitham,R$ 90.77,"4,4","fevereiro 7, 2018, 7:35 AM"
67,5176352942567,Aerodynamic Granite Bottle,Gizmo,Myriam Macejkovic Inc,R$ 27.50,"4,3","novembro 17, 2018, 3:52 PM"
68,96051986448,Heavy-Duty Copper Toucan,Gizmo,"Howe, Kiehn and Price",R$ 76.83,"3,9","novembro 8, 2016, 3:04 AM"
69,5592486096660,Synergistic Leather Coat,Doohickey,"Wiza, Abbott and Deckow",R$ 48.93,"3,5","janeiro 18, 2019, 1:07 PM"
70,8207931408888,Small Rubber Clock,Widget,Izabella Dach I and Sons,R$ 38.33,"3,6","outubro 3, 2017, 1:35 PM"
71,3806751355669,Sleek Granite Pants,Gadget,"Kirlin, Hermann and Stokes",R$ 55.20,,"agosto 31, 2017, 6:01 AM"
72,9978391194435,Rustic Paper Bench,Widget,"Senger, Mertz and Murray",R$ 94.80,"3,5","março 26, 2018, 1:19 AM"
73,832349515187,Aerodynamic Rubber Bench,Widget,Rowan Kautzer LLC,R$ 47.75,"4,1","outubro 31, 2016, 8:13 PM"
74,2084705637233,Awesome Plastic Watch,Gadget,Herman Flatley Group,R$ 34.09,"4,3","fevereiro 21, 2017, 10:21 AM"
75,6588791601926,Intelligent Paper Hat,Gadget,Ledner-Satterfield,R$ 83.88,"4,5","março 6, 2018, 9:46 AM"
76,5065846711133,Sleek Marble Clock,Widget,"Koepp, Ondricka and Larkin",R$ 42.55,"4,3","novembro 22, 2017, 8:48 PM"
77,4312472827051,Mediocre Leather Computer,Gadget,Fisher-Kemmer,R$ 67.34,"4,4","junho 23, 2017, 1:30 AM"
78,9347854191845,Mediocre Aluminum Shirt,Gizmo,"Zemlak, Botsford and Corkery",R$ 27.74,,"janeiro 8, 2018, 10:49 AM"
79,1538211018396,Sleek Aluminum Clock,Gizmo,"Toy, Deckow and Nitzsche",R$ 27.74,"4,3","novembro 21, 2016, 1:59 PM"
80,9522454376759,Small Copper Clock,Widget,Cruickshank-Abernathy,R$ 36.61,"3,7","maio 2, 2016, 6:05 AM"
81,4760375596107,Lightweight Linen Coat,Gizmo,Mason Bashirian and Sons,R$ 29.29,"4,2","janeiro 23, 2017, 3:20 PM"
82,9802920493181,Heavy-Duty Steel Watch,Gadget,Braeden Gislason and Sons,R$ 40.60,"4,5","outubro 8, 2016, 10:26 AM"
83,1468999794635,Lightweight Bronze Table,Gadget,Mr. Johanna Koepp and Sons,R$ 54.58,"3,7","dezembro 25, 2017, 3:37 PM"
84,8002754191821,Incredible Plastic Chair,Gizmo,Americo Sipes and Sons,R$ 54.58,"3,2","dezembro 17, 2016, 3:11 PM"
85,5778452195678,Rustic Copper Knife,Gizmo,"Reynolds, Gleason and Brekke",R$ 36.60,"4,1","março 16, 2017, 8:07 PM"
86,2529776156387,Heavy-Duty Silk Chair,Doohickey,"Orn, Hilpert and Pfannerstill",R$ 61.54,"3,7","abril 2, 2019, 8:38 PM"
87,6906120611895,Gorgeous Linen Bottle,Widget,Miss Annamae Kutch Group,R$ 78.17,"3,5","maio 20, 2018, 12:35 AM"
88,4886504321812,Lightweight Linen Bottle,Gizmo,Dorothea Balistreri Inc,R$ 70.28,"3,6","outubro 18, 2018, 3:24 PM"
89,3084140869281,Awesome Aluminum Keyboard,Widget,"Stamm, Crist and Labadie",R$ 42.48,"3,3","dezembro 31, 2016, 5:57 AM"
90,7532074237028,Incredible Concrete Keyboard,Gizmo,Rodriguez-Kuhlman,R$ 82.08,4,"julho 2, 2017, 8:23 AM"
91,1559730016366,Rustic Rubber Knife,Gizmo,Connelly-Ritchie,R$ 43.40,"4,5","setembro 20, 2018, 2:53 PM"
92,7080123588503,Small Granite Gloves,Gizmo,Baumbach-Hilpert,R$ 83.26,"4,2","junho 20, 2016, 6:01 PM"
93,1613963249998,Practical Copper Car,Widget,Medhurst-Reichert,R$ 33.21,,"abril 29, 2017, 6:52 PM"
94,9753065345920,Awesome Bronze Plate,Widget,Nolan-Heller,R$ 72.81,,"agosto 19, 2017, 9:28 PM"
95,4945934419923,Durable Iron Knife,Gizmo,"Schiller, Bogisich and Lockman",R$ 33.21,"4,1","setembro 16, 2017, 7:33 PM"
96,4168050315812,Heavy-Duty Silk Car,Doohickey,Bernhard-Grady,R$ 69.88,4,"junho 7, 2017, 12:06 AM"
97,498395047364,Durable Copper Clock,Doohickey,"Halvorson, Lockman and Ruecker",R$ 74.95,4,"fevereiro 2, 2018, 3:38 PM"
98,7485639601133,Mediocre Silk Bottle,Gizmo,Pacocha-Volkman,R$ 74.95,"4,5","abril 9, 2019, 4:49 PM"
99,2646001599860,Enormous Plastic Coat,Gadget,Kuhlman-Kuphal,R$ 45.22,"3,3","janeiro 9, 2018, 10:07 AM"
100,7667946672475,Lightweight Steel Knife,Gizmo,"Legros, Lynch and Howell",R$ 45.22,4,"abril 27, 2017, 1:06 PM"
101,8368305700967,Durable Cotton Bench,Gadget,Gutmann-Breitenberg,R$ 93.22,"3,6","abril 8, 2017, 9:49 AM"
102,2562717359713,Lightweight Granite Hat,Gadget,Dominic Mann Group,R$ 31.36,4,"março 29, 2019, 9:27 PM"
103,8687358946192,Rustic Silk Pants,Widget,Trantow-Bartell,R$ 31.36,,"maio 3, 2018, 7:44 AM"
104,4093428378987,Sleek Leather Toucan,Widget,Senger-Doyle,R$ 70.96,,"outubro 22, 2018, 5:51 AM"
105,1790740189682,Fantastic Wool Shirt,Gadget,Jerrod McLaughlin LLC,R$ 35.15,4,"junho 16, 2016, 12:07 AM"
106,848056924761,Fantastic Steel Knife,Doohickey,Friesen-Langworth,R$ 35.15,"4,3","abril 25, 2017, 7:27 AM"
107,7059492880556,Lightweight Wool Plate,Gadget,Dora Fay and Sons,R$ 33.40,4,"novembro 19, 2017, 8:15 AM"
108,3772022926992,Practical Silk Computer,Gadget,Aufderhar-Boehm,R$ 33.40,4,"março 3, 2019, 1:38 PM"
109,5528517133622,Intelligent Iron Shirt,Widget,Price Kuhic Inc,R$ 79.37,,"agosto 13, 2016, 2:20 PM"
110,4734618834332,Enormous Marble Gloves,Widget,Stanton-Fritsch,R$ 37.02,,"outubro 16, 2016, 9:45 AM"
111,8222420544052,Ergonomic Rubber Bench,Gadget,"Hane, Hamill and Jerde",R$ 37.02,"3,8","agosto 22, 2018, 1:32 PM"
112,1464781960745,Small Wool Wallet,Doohickey,Ledner-Watsica,R$ 27.55,"4,1","fevereiro 5, 2017, 12:51 AM"
113,212722801067,Sleek Leather Table,Gadget,"Ruecker, Carter and Ortiz",R$ 73.65,"3,3","janeiro 21, 2019, 8:01 AM"
114,4785470010730,Practical Plastic Keyboard,Doohickey,"Wisoky, Pagac and Heaney",R$ 51.94,4,"junho 26, 2018, 1:56 PM"
115,6858015278648,Rustic Silk Knife,Gadget,Mrs. Eugenia Koelpin and Sons,R$ 51.94,"4,2","janeiro 27, 2018, 11:30 AM"
116,5955704607626,Aerodynamic Concrete Bench,Gizmo,Denesik-Ortiz,R$ 76.28,"4,2","setembro 12, 2018, 3:23 PM"
117,5272733645116,Small Concrete Knife,Gizmo,Jefferey Volkman LLC,R$ 36.68,"3,5","julho 22, 2016, 8:50 PM"
118,5291392809646,Synergistic Rubber Shoes,Gadget,Herta Skiles and Sons,R$ 38.42,"3,1","outubro 19, 2016, 12:34 AM"
119,5433448189252,Gorgeous Linen Keyboard,Gadget,Alfreda Konopelski II Group,R$ 28.96,"3,6","março 24, 2018, 2:04 AM"
120,2484897511500,Heavy-Duty Copper Watch,Widget,Jerrell Gulgowski Inc,R$ 55.67,4,"setembro 27, 2016, 2:38 PM"
121,95774502751,Ergonomic Wool Bag,Doohickey,"Wolff, Ebert and Hansen",R$ 26.96,5,"novembro 10, 2017, 4:39 AM"
122,4733532233696,Gorgeous Marble Plate,Gizmo,Fisher-Purdy,R$ 66.56,"3,6","maio 8, 2017, 2:53 AM"
123,3621077291879,Mediocre Wooden Bench,Gizmo,Flatley-Kunde,R$ 73.95,2,"novembro 16, 2017, 1:53 PM"
124,8245402607613,Durable Aluminum Bag,Gizmo,Zemlak-Wiegand,R$ 73.95,4,"fevereiro 9, 2018, 3:51 PM"
125,255973714120,Aerodynamic Granite Bench,Widget,Lon Wiegand DVM and Sons,R$ 53.60,"3,4","maio 12, 2016, 12:21 AM"
126,9644009305424,Practical Wool Hat,Widget,Emmerich-Nienow,R$ 83.50,"4,5","setembro 27, 2016, 10:45 PM"
127,4665903801947,Practical Bronze Watch,Widget,Schamberger-Wehner,R$ 89.65,4,"outubro 12, 2016, 5:58 PM"
128,1664425970,Gorgeous Aluminum Plate,Gizmo,Cale Thompson V and Sons,R$ 50.05,"4,3","novembro 10, 2017, 2:32 PM"
129,8844419430964,Small Marble Knife,Gizmo,"Turner, Kiehn and Schmitt",R$ 98.78,"3,6","dezembro 14, 2017, 11:45 PM"
130,8163753213485,Awesome Cotton Shoes,Gizmo,"Kuphal, Friesen and Rowe",R$ 50.02,"4,4","outubro 10, 2017, 2:32 AM"
131,5738533322232,Practical Aluminum Coat,Widget,Batz-Schroeder,R$ 75.41,4,"março 23, 2017, 3:06 PM"
132,7668932199532,Sleek Steel Table,Widget,Marge Effertz Jr. Inc,R$ 85.25,"3,7","abril 1, 2018, 1:51 AM"
133,698616313838,Sleek Wool Watch,Doohickey,"Hauck, Ernser and Barton",R$ 45.65,"4,3","setembro 16, 2016, 8:52 PM"
134,2339358820724,Practical Paper Bag,Doohickey,"Considine, Bogisich and Bauch",R$ 28.33,"3,8","maio 25, 2017, 12:10 PM"
135,6248889948356,Enormous Granite Bottle,Gizmo,Lorenza Mayer Inc,R$ 30.54,4,"abril 2, 2019, 7:04 AM"
136,7570673549500,Mediocre Marble Lamp,Widget,"Crona, Block and Homenick",R$ 70.14,"4,8","julho 5, 2017, 5:59 PM"
137,8271165200181,Ergonomic Granite Bottle,Gizmo,"Morissette, Dare and Schimmel",R$ 45.18,"3,5","fevereiro 16, 2019, 10:36 PM"
138,1157194463322,Incredible Plastic Watch,Doohickey,Kiel Kassulke Group,R$ 75.97,4,"dezembro 18, 2016, 8:19 PM"
139,3301617687934,Lightweight Steel Watch,Doohickey,"Wuckert, Murazik and Ernser",R$ 51.19,"3,2","junho 8, 2016, 10:24 AM"
140,5050273180195,Sleek Copper Watch,Gadget,Daugherty-Dach,R$ 44.54,"4,1","dezembro 1, 2017, 9:57 AM"
141,4504719641739,Enormous Cotton Pants,Doohickey,Nikolaus-Hudson,R$ 84.14,4,"outubro 3, 2018, 7:23 PM"
142,4686859196154,Ergonomic Marble Computer,Doohickey,"Kuphal, Brown and Koss",R$ 46.90,"4,3","outubro 14, 2017, 2:59 AM"
143,4009053735033,Rustic Iron Bench,Gizmo,"McGlynn, Fay and Kertzmann",R$ 40.80,,"fevereiro 4, 2018, 10:30 PM"
144,7760442733661,Aerodynamic Bronze Hat,Widget,"Schumm, Brown and Wehner",R$ 40.80,,"janeiro 19, 2019, 2:05 AM"
145,899183128263,Awesome Wool Bench,Gizmo,Stark-Bayer,R$ 40.80,"4,4","abril 27, 2018, 3:52 PM"
146,9131148018211,Lightweight Wool Computer,Widget,Theodora Terry and Sons,R$ 84.03,"4,3","setembro 14, 2016, 10:14 AM"
147,6590063715,Mediocre Wool Toucan,Doohickey,"Bradtke, Wilkinson and Reilly",R$ 44.43,"4,6","julho 17, 2017, 3:41 PM"
148,3828680930458,Sleek Plastic Shoes,Gadget,Gail Bergstrom Inc,R$ 92.65,"4,1","maio 26, 2018, 5:12 AM"
149,2543248750439,Incredible Aluminum Knife,Widget,"Padberg, Senger and Williamson",R$ 46.10,"4,1","junho 15, 2017, 8:50 AM"
150,5935916054838,Synergistic Wool Coat,Gadget,Morar-Schamberger,R$ 85.70,"3,9","novembro 26, 2018, 7:59 AM"
151,1878073010375,Lightweight Leather Bench,Gizmo,"Marquardt, Crooks and Abshire",R$ 61.08,4,"outubro 16, 2017, 12:52 AM"
152,3988126680641,Enormous Aluminum Clock,Widget,Thompson-Wolf,R$ 32.60,"3,6","maio 26, 2017, 8:35 PM"
153,1484994799123,Aerodynamic Leather Computer,Gadget,"Wilkinson, Donnelly and Gulgowski",R$ 44.53,"4,1","novembro 24, 2017, 7:13 PM"
154,6875096496570,Incredible Bronze Wallet,Widget,"Hermiston, O'Hara and Wunsch",R$ 54.58,"4,3","julho 7, 2018, 2:51 PM"
155,7854842811538,Fantastic Rubber Knife,Gadget,Demarcus Brakus Inc,R$ 29.18,"4,4","fevereiro 22, 2017, 12:53 PM"
156,1770178011663,Heavy-Duty Copper Gloves,Gadget,"Schinner, Schmitt and Crona",R$ 20.41,"4,5","setembro 30, 2016, 7:55 AM"
157,7177157744491,Intelligent Granite Hat,Widget,Dooley-Cummings,R$ 93.26,3,"dezembro 1, 2017, 8:35 AM"
158,7345418848909,Aerodynamic Leather Toucan,Gizmo,Israel Spinka and Sons,R$ 93.26,"4,1","julho 9, 2017, 11:04 AM"
159,6403813628678,Aerodynamic Cotton Lamp,Widget,"Mueller, Mayert and Johnston",R$ 23.69,"4,3","fevereiro 27, 2017, 8:15 PM"
160,3685697688891,Lightweight Linen Hat,Gadget,Oran D'Amore Inc,R$ 31.73,5,"maio 3, 2018, 9:43 PM"
161,5626486088179,Heavy-Duty Rubber Gloves,Doohickey,"West, Prohaska and Wunsch",R$ 31.73,4,"junho 12, 2016, 11:35 PM"
162,9458076657016,Gorgeous Copper Knife,Gadget,Connelly-Mitchell,R$ 22.38,"3,3","novembro 25, 2018, 2:58 PM"
163,2117622168280,Ergonomic Leather Pants,Widget,Brittany Mueller Inc,R$ 22.38,,"agosto 1, 2016, 8:39 PM"
164,3691313722887,Sleek Bronze Lamp,Doohickey,Bosco-Breitenberg,R$ 61.98,"4,4","dezembro 1, 2016, 10:43 PM"
165,9182640035008,Aerodynamic Copper Knife,Gizmo,"McDermott, Kiehn and Becker",R$ 25.54,"2,5","janeiro 14, 2018, 8:47 AM"
166,1408483808240,Rustic Copper Hat,Doohickey,Kuhn-O'Reilly,R$ 25.54,4,"agosto 5, 2016, 7:54 AM"
167,6009279470754,Gorgeous Paper Bag,Doohickey,Prohaska-Quigley,R$ 65.14,3,"outubro 24, 2017, 2:18 PM"
168,6190070243323,Intelligent Paper Car,Gadget,Roscoe Oberbrunner Group,R$ 79.29,,"julho 29, 2016, 3:49 AM"
169,8933669659420,Small Cotton Chair,Doohickey,Kuhlman-McKenzie,R$ 39.69,"4,5","agosto 4, 2018, 1:37 AM"
170,6966709160725,Durable Leather Wallet,Widget,Ruecker-Jakubowski,R$ 70.05,4,"novembro 11, 2018, 12:14 AM"
171,2448500145612,Ergonomic Iron Watch,Doohickey,Blake Greenfelder Group,R$ 70.05,4,"julho 7, 2017, 7:15 PM"
172,4201407654834,Practical Aluminum Table,Gizmo,Heathcote-Kirlin,R$ 81.58,"3,8","setembro 2, 2018, 4:45 PM"
173,1838229841499,Gorgeous Wooden Car,Gadget,"Upton, Schoen and Streich",R$ 81.58,"4,1","maio 30, 2016, 7:24 AM"
174,9216642429807,Rustic Iron Keyboard,Gadget,Barrows-Johns,R$ 74.41,"4,4","fevereiro 13, 2017, 7:10 AM"
175,7067375149041,Fantastic Leather Watch,Doohickey,Lakin-Stroman,R$ 78.22,,"julho 31, 2016, 1:29 PM"
176,6424174443243,Enormous Leather Wallet,Widget,Mr. Colton Mayer Group,R$ 38.62,"3,6","julho 29, 2016, 9:38 AM"
177,2125923238175,Heavy-Duty Cotton Bottle,Gadget,Ursula Collins LLC,R$ 85.88,4,"dezembro 29, 2018, 10:35 PM"
178,3576267834421,Ergonomic Linen Toucan,Widget,Halle Kulas I LLC,R$ 78.22,"4,6","maio 14, 2017, 5:22 AM"
179,6372029072158,Incredible Linen Knife,Doohickey,Casper-Schimmel,R$ 45.55,"3,5","agosto 19, 2016, 11:20 AM"
180,8725228831589,Lightweight Copper Wallet,Gadget,Maxime Haley and Sons,R$ 45.55,"4,3","julho 29, 2017, 9:06 AM"
181,8703661046340,Awesome Steel Toucan,Widget,"Berge, Mraz and Sawayn",R$ 95.93,"4,4","março 31, 2019, 7:59 AM"
182,8769809778856,Practical Silk Bottle,Gadget,Devonte Gleichner Inc,R$ 56.33,4,"outubro 19, 2018, 10:20 PM"
183,5408760500061,Mediocre Aluminum Lamp,Gizmo,"Powlowski, Keebler and Quigley",R$ 37.80,"3,7","novembro 28, 2016, 2:43 AM"
184,4198118078267,Practical Granite Plate,Widget,Gaylord-Lesch,R$ 77.40,"3,6","abril 3, 2017, 6:01 PM"
185,3307124431763,Sleek Marble Table,Gadget,Cremin-Williamson,R$ 26.38,,"novembro 9, 2016, 2:06 PM"
186,225815844582,Ergonomic Concrete Lamp,Gizmo,Theodore Hansen Inc,R$ 65.98,"4,2","abril 14, 2018, 3:21 PM"
187,4347934129886,Fantastic Copper Hat,Gizmo,Janick Harvey LLC,R$ 65.98,"4,2","julho 3, 2017, 11:17 PM"
188,2315609605258,Synergistic Copper Computer,Doohickey,"Jones, Hayes and Kshlerin",R$ 22.58,"3,5","fevereiro 7, 2019, 7:03 PM"
189,38948983000,Gorgeous Marble Computer,Widget,"Marvin, Turcotte and Wisozk",R$ 62.18,"4,3","agosto 16, 2017, 1:01 AM"
190,1613730311804,Ergonomic Cotton Bag,Gadget,Delphia Bauch Inc,R$ 85.72,"3,2","janeiro 22, 2019, 3:58 PM"
191,7167715379463,Heavy-Duty Linen Gloves,Gadget,"Herman, Gleason and Renner",R$ 85.72,,"maio 1, 2018, 9:16 PM"
192,1272575087123,Durable Cotton Shirt,Widget,"Grady, Greenfelder and Welch",R$ 46.12,"3,3","julho 28, 2016, 8:48 AM"
193,4709231420798,Ergonomic Plastic Bench,Gadget,Hodkiewicz-Brekke,R$ 33.59,,"abril 24, 2017, 6:33 PM"
194,2952766751666,Heavy-Duty Rubber Bottle,Doohickey,Rosanna Murazik Inc,R$ 33.59,"3,5","maio 11, 2016, 9:39 AM"
195,7384311074268,Incredible Concrete Watch,Gadget,Ford Runolfsson Group,R$ 73.19,5,"abril 1, 2019, 11:26 PM"
196,6316992933962,Heavy-Duty Linen Toucan,Widget,Balistreri-Muller,R$ 46.76,,"março 8, 2017, 8:05 PM"
197,2516506541834,Aerodynamic Concrete Lamp,Gizmo,Erika Volkman Group,R$ 46.76,"4,6","junho 8, 2017, 8:56 AM"
198,7153630876392,Enormous Copper Shirt,Gizmo,"Considine, Schamberger and Schiller",R$ 46.76,"4,1","setembro 6, 2017, 7:28 PM"
199,5522456328132,Mediocre Leather Coat,Widget,"Gulgowski, Grimes and Mayer",R$ 76.95,"3,6","agosto 19, 2016, 1:21 AM"
